T        MC_cycles-ac             N_spins      accepted flips               <E>/N             <|M|>/N
1                 900                   4                   9   -1.98404255319149   0.993351063829787
1                 900                   4                   9    -1.9840848806366   0.993368700265252
1                 900                   4                   9   -1.98412698412698   0.993386243386243
1                 900                   4                   9   -1.98416886543536   0.993403693931398
1                 900                   4                   9   -1.98421052631579   0.993421052631579
1                 900                   4                   9   -1.98425196850394   0.993438320209974
1                 900                   4                   9   -1.98429319371728   0.993455497382199
1                 900                   4                   9   -1.98433420365535   0.993472584856397
1                 900                   4                   9           -1.984375   0.993489583333333
1                 900                   4                   9   -1.98441558441558   0.993506493506494
1                 900                   4                   9   -1.98445595854922   0.993523316062176
1                 900                   4                   9   -1.98449612403101   0.993540051679587
1                 900                   4                   9   -1.98453608247423   0.993556701030928
1                 900                   4                   9   -1.98457583547558   0.993573264781491
1                 900                   4                   9   -1.98461538461538   0.993589743589744
1                 900                   4                   9    -1.9846547314578   0.993606138107417
1                 900                   4                   9   -1.98469387755102   0.993622448979592
1                 900                   4                   9   -1.98473282442748   0.993638676844784
1                 900                   4                   9   -1.98477157360406   0.993654822335025
1                 900                   4                   9   -1.98481012658228   0.993670886075949
1                 900                   4                   9   -1.98484848484848   0.993686868686869
1                 900                   4                   9   -1.98488664987406   0.993702770780856
1                 900                   4                   9   -1.98492462311558   0.993718592964824
1                 900                   4                   9   -1.98496240601504   0.993734335839599
1                 900                   4                   9              -1.985             0.99375
1                 900                   4                   9   -1.98503740648379   0.993765586034913
1                 900                   4                   9   -1.98507462686567   0.993781094527363
1                 900                   4                   9   -1.98511166253102   0.993796526054591
1                 900                   4                   9   -1.98514851485149   0.993811881188119
1                 900                   4                   9   -1.98518518518519   0.993827160493827
1                 900                   4                   9   -1.98522167487685    0.99384236453202
1                 900                   4                   9   -1.98525798525799   0.993857493857494
1                 900                   4                   9   -1.98529411764706   0.993872549019608
1                 900                   4                   9   -1.98533007334963   0.993887530562347
1                 900                   4                   9   -1.98536585365854    0.99390243902439
1                 900                   4                   9   -1.98540145985401   0.993917274939173
1                 900                   4                   9   -1.98543689320388   0.993932038834951
1                 900                   4                   9   -1.98547215496368   0.993946731234867
1                 900                   4                   9   -1.98550724637681   0.993961352657005
1                 900                   4                   9    -1.9855421686747   0.993975903614458
1                 900                   4                   9   -1.98557692307692   0.993990384615385
1                 900                   4                   9   -1.98561151079137    0.99400479616307
